year,y,lower,upper
1871,-8.439521,-8.699521,-8.179521
1872,-8.693379,-8.953379,-8.433379
1873,-8.408936,-8.668936,-8.148936
1874,-8.359843,-8.619843,-8.099843
1875,-8.407114,-8.667114,-8.147114
1876,-8.418817,-8.678817,-8.158817
1877,-8.545963,-8.805963,-8.285963
1878,-8.551431,-8.811431,-8.291431
1879,-8.365034,-8.625034,-8.105034
1880,-8.640082,-8.900082,-8.380082
1881,-8.511592,-8.771592,-8.251592
1882,-8.600808,-8.860808,-8.340808
1883,-8.780645,-9.040645,-8.520645
1884,-8.655803,-8.915803,-8.395803
1885,-8.631998,-8.891998,-8.371998
1886,-8.422674,-8.682674,-8.162674
1887,-8.2658,-8.5258,-8.0058
1888,-7.929322,-8.189322,-7.669322
1889,-8.440497,-8.700497,-8.180497
1890,-8.406281,-8.666281,-8.146281
1891,-8.119519,-8.379519,-7.859519
1892,-8.336809,-8.596809,-8.076809
1893,-8.207296,-8.467296,-7.947296
1894,-8.56901,-8.82901,-8.30901
1895,-8.557622,-8.817622,-8.297622
1896,-8.556822,-8.816822,-8.296822
1897,-8.497299,-8.757299,-8.237299
1898,-8.451528,-8.711528,-8.191528
1899,-8.240735,-8.500735,-7.980735
1900,-8.261797,-8.521797,-8.001797
1901,-8.517821,-8.777821,-8.257821
1902,-8.339844,-8.599844,-8.079844
1903,-8.663102,-8.923102,-8.403102
1904,-8.672101,-8.932101,-8.412101
1905,-8.587029,-8.847029,-8.327029
1906,-8.532405,-8.792405,-8.272405
1907,-8.188454,-8.448454,-7.928454
1908,-8.343501,-8.603501,-8.083501
1909,-8.295096,-8.555096,-8.035096
1910,-8.213141,-8.473141,-7.953141
1911,-8.305594,-8.565594,-8.045594
1912,-8.831867,-9.091867,-8.571867
1913,-8.920407,-9.180407,-8.660407
1914,-8.839794,-9.099794,-8.579794
1915,-8.495165,-8.755165,-8.235165
1916,-8.310744,-8.570744,-8.050744
1917,-8.166034,-8.426034,-7.906034
1918,-8.079217,-8.339217,-7.819217
1919,-8.668176,-8.928176,-8.408176
1920,-8.688969,-8.948969,-8.428969
1921,-8.940857,-9.200857,-8.680857
1922,-8.680516,-8.940516,-8.420516
1923,-8.606716,-8.866716,-8.346716
1924,-8.367244,-8.627244,-8.107244
1925,-8.557209,-8.817209,-8.297209
1926,-8.578496,-8.838496,-8.318496
1927,-8.361843,-8.621843,-8.101843
1928,-8.58256,-8.84256,-8.32256
1929,-8.450698,-8.710698,-8.190698
1930,-8.860621,-9.120621,-8.600621
1931,-8.379673,-8.639673,-8.119673
1932,-8.300655,-8.560655,-8.040655
1933,-8.478072,-8.738072,-8.218072
1934,-8.479221,-8.739221,-8.219221
1935,-8.464644,-8.724644,-8.204644
1936,-8.324041,-8.584041,-8.064041
1937,-8.658728,-8.918728,-8.398728
1938,-8.382751,-8.642751,-8.122751
1939,-8.444999,-8.704999,-8.184999
1940,-8.522353,-8.782353,-8.262353
1941,-8.570842,-8.830842,-8.310842
1942,-8.511259,-8.771259,-8.251259
1943,-8.589824,-8.849824,-8.329824
1944,-8.401328,-8.661328,-8.141328
1945,-8.293125,-8.553125,-8.033125
1946,-8.65859,-8.91859,-8.39859
1947,-8.917906,-9.177906,-8.657906
1948,-8.747154,-9.007154,-8.487154
1949,-8.8464,-9.1064,-8.5864
1950,-8.732506,-8.992506,-8.472506
1951,-8.269868,-8.529868,-8.009868
1952,-8.514929,-8.774929,-8.254929
1953,-8.109595,-8.369595,-7.849595
1954,-8.496405,-8.756405,-8.236405
1955,-8.195328,-8.455328,-7.935328
1956,-8.127052,-8.387052,-7.867052
1957,-8.573155,-8.833155,-8.313155
1958,-8.415984,-8.675984,-8.155984
1959,-8.754937,-9.014937,-8.494937
1960,-8.804456,-9.064456,-8.544456
1961,-8.916993,-9.176993,-8.656993
1962,-8.616795,-8.876795,-8.356795
1963,-8.639308,-8.899308,-8.379308
1964,-8.754333,-9.014333,-8.494333
1965,-8.311646,-8.571646,-8.051646
1966,-8.699867,-8.959867,-8.439867
1967,-8.425551,-8.685551,-8.165551
1968,-8.579078,-8.839078,-8.319078
1969,-9.078416,-9.338416,-8.818416
1970,-8.876469,-9.136469,-8.616469
1971,-8.881908,-9.141908,-8.621908
1972,-9.033046,-9.293046,-8.773046
1973,-9.346647,-9.606647,-9.086647
1974,-9.107917,-9.367917,-8.847917
1975,-9.051386,-9.311386,-8.791386
1976,-8.861938,-9.121938,-8.601938
1977,-9.114447,-9.374447,-8.854447
1978,-8.897718,-9.157718,-8.637718
1979,-8.925042,-9.185042,-8.665042
1980,-9.080981,-9.340981,-8.820981
1981,-8.708788,-8.968788,-8.448788
1982,-8.861086,-9.121086,-8.601086
